Location,SKU,Product,Loc Name,Spoken Description,Starter Qty,State,lang_desc,Sequence,Verification
Full,169374,20OZ WM PL 1/24 GAT ZRO GLCR FRZ,3120,twenty ounce singles gatorade zero glacier freeze,0,ENABLED,ENGLISH,3120,ALLOWCHECKDIGITS
Bulk,170207,20OZ WM PL 1/24 GAT ZRO LL,999,20OZ WM PL 1/24 GAT ZRO LL,0,ENABLED,ENGLISH,999,ALLOWCHECKDIGITS
Bulk,171345,20OZ WM PL 1/24 PD FCP GZROGLCFRZ,3120,twenty ounce gatorade zero glacier freeze,0,ENABLED,ENGLISH,3120,ALLOWCHECKDIGITS
Bulk,136648,20OZ WM PL 12/1 GAT VRTY,3240,twenty ounce gatorade twelve pack variety,0,ENABLED,ENGLISH,3240,ALLOWCHECKDIGITS
Full,136648,20OZ WM PL 12/1 GAT VRTY,1,twenty ounce gatorade twelve pack variety,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,135942,20OZ WM PL 4/6 GAT CL BLU,3160,twenty ounce four six gatorade cool blue,0,ENABLED,ENGLISH,3160,ALLOWCHECKDIGITS
Bulk,130370,20OZ WM PL 4/6 GAT FT PNCH,3180,twenty ounce four six gatorade fruit punch,0,ENABLED,ENGLISH,3180,ALLOWCHECKDIGITS
Bulk,135638,20OZ WM PL 4/6 GAT GLCR FRZ,3150,twenty ounce four pack gatorade glacier freeze,0,ENABLED,ENGLISH,3150,ALLOWCHECKDIGITS
Bulk,130369,20OZ WM PL 4/6 GAT LL,3170,twenty ounce four six gatorade lemon lime,0,ENABLED,ENGLISH,3170,ALLOWCHECKDIGITS
Bulk,130572,20OZ WM PL 8/3 GAT CL BLU,3310,twenty ounce eight three gatorade cool blue,0,ENABLED,ENGLISH,3310,ALLOWCHECKDIGITS
Full,130572,20OZ WM PL 8/3 GAT CL BLU,3310,twenty ounce eight three gatorade cool blue,0,ENABLED,ENGLISH,3310,ALLOWCHECKDIGITS
Layer,130572,20OZ WM PL 8/3 GAT CL BLU,30,twenty ounce eight three gatorade cool blue,0,ENABLED,ENGLISH,30,ALLOWCHECKDIGITS
Bulk,324712,20OZ WM PL 8/3 GAT CLBLU DRPONLY,1,20OZ WM PL 8/3 GAT Cool BLU Display pallet ONLY,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Full,324712,20OZ WM PL 8/3 GAT CLBLU DRPONLY,1,20OZ WM PL 8/3 GAT Cool BLU Display pallet ONLY,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,324716,20OZ WM PL 8/3 GAT FP DRPONLY,1,twenty ounce gatorade fruit punch display pallets only,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Full,324716,20OZ WM PL 8/3 GAT FP DRPONLY,1,twenty ounce gatorade fruit punch display pallets only,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,142762,20OZ WM PL 8/3 GAT FRC BL CHE,3390,twenty ounce eight pack gatorade fierce blue cherry,0,ENABLED,ENGLISH,3390,ALLOWCHECKDIGITS
Full,142762,20OZ WM PL 8/3 GAT FRC BL CHE,3390,twenty ounce eight pack gatorade fierce blue cherry,1,ENABLED,ENGLISH,3390,ALLOWCHECKDIGITS
Bulk,148999,20OZ WM PL 8/3 GAT FRC GRN APL,3240,twenty ounce eight pack gatorade fierce green apple,1,ENABLED,ENGLISH,3240,ALLOWCHECKDIGITS
Bulk,130573,20OZ WM PL 8/3 GAT FRC GRP,3300,twenty ounce eight three gatorade fierce grape,0,ENABLED,ENGLISH,3300,ALLOWCHECKDIGITS
Full,130573,20OZ WM PL 8/3 GAT FRC GRP,3300,twenty ounce eight three gatorade fierce grape,0,ENABLED,ENGLISH,3300,ALLOWCHECKDIGITS
Bulk,157095,20OZ WM PL 8/3 GAT FRST ARC BLZ,1,twenty ounce eight pack gatorade arctic blast,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,130564,20OZ WM PL 8/3 GAT FT PNCH,3330,twenty ounce eight three gatorade fruit punch,0,ENABLED,ENGLISH,3330,ALLOWCHECKDIGITS
Full,130564,20OZ WM PL 8/3 GAT FT PNCH,3330,twenty ounce eight three gatorade fruit punch,0,ENABLED,ENGLISH,3330,ALLOWCHECKDIGITS
Layer,130564,20OZ WM PL 8/3 GAT FT PNCH,35,twenty ounce eight three gatorade fruit punch,0,ENABLED,ENGLISH,35,ALLOWCHECKDIGITS
Bulk,130575,20OZ WM PL 8/3 GAT G2 GRP,3220,twenty ounce eight three gatorade g two grape,0,ENABLED,ENGLISH,3220,ALLOWCHECKDIGITS
Full,130575,20OZ WM PL 8/3 GAT G2 GRP,3220,twenty ounce eight three gatorade g two grape,0,ENABLED,ENGLISH,3220,ALLOWCHECKDIGITS
Bulk,324714,20OZ WM PL 8/3 GAT GLCHE DRPONLY,1,20OZ WM PL 8/3 GAT GLacier cherry display pallet ONLY,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Full,324714,20OZ WM PL 8/3 GAT GLCHE DRPONLY,1,20OZ WM PL 8/3 GAT GLacier cherry display pallet ONLY,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,144094,20OZ WM PL 8/3 GAT GLCR CHE,3270,twenty ounce eight pack gatorade glacier cherry,0,ENABLED,ENGLISH,3270,ALLOWCHECKDIGITS
Full,144094,20OZ WM PL 8/3 GAT GLCR CHE,3270,twenty ounce eight pack gatorade glacier cherry,0,ENABLED,ENGLISH,3270,ALLOWCHECKDIGITS
Bulk,130566,20OZ WM PL 8/3 GAT GLCR FRZ,3340,twenty ounce eight three gatorade glacier freeze,0,ENABLED,ENGLISH,3340,ALLOWCHECKDIGITS
Full,130566,20OZ WM PL 8/3 GAT GLCR FRZ,3340,twenty ounce eight three gatorade glacier freeze,0,ENABLED,ENGLISH,3340,ALLOWCHECKDIGITS
Layer,130566,20OZ WM PL 8/3 GAT GLCR FRZ,40,twenty ounce eight three gatorade glacier freeze,0,ENABLED,ENGLISH,40,ALLOWCHECKDIGITS
Bulk,324717,20OZ WM PL 8/3 GAT GLFRZ DRPONLY,1,20OZ WM PL 8/3 GAT GLacier FReze  Display pallets ONLY,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Full,324717,20OZ WM PL 8/3 GAT GLFRZ DRPONLY,1,20OZ WM PL 8/3 GAT GLacier FReze  Display pallets ONLY,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,130563,20OZ WM PL 8/3 GAT LL,3350,twenty ounce eight three gatorade lemon lime,0,ENABLED,ENGLISH,3350,ALLOWCHECKDIGITS
Full,130563,20OZ WM PL 8/3 GAT LL,3350,twenty ounce eight three gatorade lemon lime,0,ENABLED,ENGLISH,3350,ALLOWCHECKDIGITS
Layer,130563,20OZ WM PL 8/3 GAT LL,45,twenty ounce eight three gatorade lemon lime,0,ENABLED,ENGLISH,45,ALLOWCHECKDIGITS
Bulk,324715,20OZ WM PL 8/3 GAT LL DRPONLY,9999,20OZ WM PL 8/3 GAT Lemon lime display pallets ONLY,0,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Bulk,197610,20OZ WM PL 8/3 GAT LME CUCMBR,3230,twenty ounce eight pack gatorade lime cucumber,0,ENABLED,ENGLISH,3230,ALLOWCHECKDIGITS
Full,197610,20OZ WM PL 8/3 GAT LME CUCMBR,3230,twenty ounce eight pack gatorade lime cucumber,0,ENABLED,ENGLISH,3230,ALLOWCHECKDIGITS
Bulk,323287,20OZ WM PL 8/3 GAT MDNT ICE,3210,twenty ounce gatorade midnight ice eight pack,0,ENABLED,ENGLISH,3210,ALLOWCHECKDIGITS
Full,323287,20OZ WM PL 8/3 GAT MDNT ICE,3210,twenty ounce gatorade midnight ice eight pack,0,ENABLED,ENGLISH,3210,ALLOWCHECKDIGITS
Bulk,130565,20OZ WM PL 8/3 GAT ORG,3320,twenty ounce eight three gatorade orange,0,ENABLED,ENGLISH,3320,ALLOWCHECKDIGITS
