Zone,SKU,Description,Cases,Picked,Orders,Remaining,UPC,Cases / Order
BULK,204240,13.7OZ NR 1/12 FRAP OMLK DKCHBRN,1,0,1,1,'012000210822,1
BULK,204602,12OZ CN 12/2 FM MDEW SPRK,6,0,2,6,'012000211720,3
BULK,205145,14OZ PL 1/12 MM MM PR40 CHC PNTBT,2,1,2,1,'052000051179,1
BULK,205151,20OZ PL 1/12 GAT GLYT WMLN,14,0,11,14,'052000050622,1
BULK,205398,20OZ PL 1/12 GAT GLYT MXD BRY,12,0,9,12,'052000050820,1
BULK,205478,1L PL 1/12 PRPL BRY,6,0,6,6,'052000050585,1
BULK,205479,1L PL 1/12 PRPL KW STW,5,0,5,5,'052000050608,1
BULK,205480,1L PL 1/12 PRPL GRP,2,0,2,2,'052000050592,1
BULK,205848,1L PL 1/15 BRSK BLD ORG,28,4,24,24,'012000210655,1
BULK,206107,16.9OZ PL 1/12 GAT GFIT CIT BRY,4,0,4,4,'052000051551,1
BULK,206110,16.9OZ PL 1/12 GAT GFIT WMLN STW,5,0,5,5,'052000051575,1
BULK,206111,16.9OZ PL 1/12 GAT GFIT TRP MGO,6,0,6,6,'052000051537,1
BULK,206355,9.6OZ CN 1/12 SB NTR CB SWT CRM,2,0,2,2,'012000204807,1
BULK,206657,20OZ PL 1/24 MDEW PRPL THDR,2,0,1,2,'012000213687,2
BULK,206681,64OZ PL 1/8 LPT LPT IMS GT PNMGSR,1,0,1,1,'012000213342,1
BULK,206682,16.9OZ PL PK12/2 LPT IMS GT PNPMGO,21,0,14,21,'012000213335,1
BULK,206683,16.9OZ PL PK12/2 DTLPT IMS GT PNMG,26,2,14,24,'012000213366,1
BULK,206892,2G BIB CITSPR CRAN JC15%,1,0,1,1,'782269109020,1
BULK,207016,12OZ CN 8/3 FM BUBLY BLN BLS SPK,9,0,7,9,'012000214301,1
BULK,208362,12OZ PL 1/12 FSTW FST TWTCH COOL BL,1,0,1,1,'876063811910,1
BULK,209225,20OZ PL 1/12 GAT ZR GLYT LL,9,0,7,9,'052000052862,1
BULK,209226,20OZ PL 1/12 GAT ZR GLYT STWKW,5,0,4,5,'052000052855,1
BULK,209278,12OZ CN 8/3 FM BUBLY LMN SRB SPK,10,0,7,10,'012000221002,1
BULK,209286,20OZ PL 1/12 GAT GLYT LME CUCM,6,1,6,5,'052000052879,1
BULK,209287,12OZ CN 8/3 FM BUBLY ORG CRM SPK,7,0,6,7,'012000221026,1
BULK,209501,16.9OZ PL 1/12 GA GFIT BLKB RSP,2,0,2,2,'052000053029,1
BULK,209797,20OZ PL 1/24 STRRY ZR SGR,1,0,1,1,'012000221521,1
BULK,209798,20OZ PL 1/24 STRRY,12,0,11,12,'012000221514,1
BULK,209800,12OZ CN 12/2 FM STRRY ZR SGR,14,3,9,11,'012000221637,1
BULK,209807,12OZ CN 12/2 FM STRRY,11,0,5,11,'012000221606,2
BULK,209810,2L PL 1/8S STRRY,14,0,7,14,'012000221477,2
BULK,209812,7.5OZ CN 10/3 STRRY,4,0,4,4,'012000221460,1
BULK,209815,1.25L PL 1/12 STRRY,3,1,3,2,'012000221538,1
BULK,320019,16OZ CN 1/12 RKSTR RCVRY STLMD,2,0,2,2,'012000221866,1
BULK,320081,5G BIB STRRY,3,0,3,3,'012000221972,1
BULK,320096,12OZCN4/6SLCEL ORANGE,3,0,3,3,'889392000412,1
BULK,320099,12OZCN4/6SLCEL WILD BERRY,2,0,2,2,'889392000429,1
BULK,320103,12OZCN4/6SLCEL PEACH VIBE,2,0,2,2,'889392010381,1
BULK,320115,12OZCN4/6SLCEL FUJI APPLE PR,1,0,1,1,'889392010374,1
BULK,320126,12OZCN1/12SLCEL FUJI APLE PR,22,1,18,21,'889392010176,1
BULK,320132,7.5OZ CN 10/3 STRRY ZR SGR,1,0,1,1,'012000222405,1
BULK,320146,12OZCN1/12SLCEL ORANGE,56,3,35,53,'889392000313,1
BULK,320147,12OZCN1/12SLCEL WILD BERRY,37,1,22,36,'889392000320,1
BULK,320148,12OZCN1/12SLCEL WATERMELON,54,2,39,52,'889392003628,1
BULK,320165,12OZCN1/12SLCEL GRAPE RUSH,15,1,11,14,'889392000917,1
BULK,320166,12OZCN1/12SLCEL KIWI GUAVA,43,3,32,40,'889392010145,1
BULK,320167,12OZCN1/12SLCEL PEACH VIBE,52,6,39,46,'889392010190,1
BULK,320168,12OZCN1/12SLCEL TROP VIBE,49,6,36,43,'889392021394,1
BULK,320169,12OZCN1/12SLCEL MANGO PSNFRT,21,0,15,21,'889392021431,1
BULK,320170,12OZCN1/12SLCEL ARCTIC VIBE,29,4,21,25,'889392021417,1
BULK,320173,12OZCN1/12SLCEL STRWBRY LMND,18,0,13,18,'889392021455,1
BULK,320181,12OZCN1/12SLCEL PEACH MGO GT,40,1,30,39,'889392010015,1
BULK,320195,12OZCN12/2SLCEL VP ORG/WB/KG,21,0,12,21,'889392000931,1
BULK,320196,12OZCN12/2SLCEL PCH/TROP/ARC,20,0,12,20,'889392000955,1
BULK,320211,12OZCN4/6SLCEL PEACH MNGO GT,1,0,1,1,'889392010046,1
BULK,320220,12OZCN4/6SLCEL WATERMELON,1,0,1,1,'889392003741,1
BULK,320228,12OZCN1/12SLCEL FANTASY VIBE,13,0,10,13,'889392000597,1
BULK,320260,15OZ CN 1/12 STRBK DS ENR CRML,15,2,13,13,'012000221767,1
BULK,320288,12OZ CN 6/4 SLK RKSTR ENRG,3,0,2,3,'012000222467,1
BULK,320290,12OZ CN 6/4 SLK RKSTR PNCHD,2,1,2,1,'012000222504,1
BULK,320330,7.5OZ CN 10/3 PEPSI WCHE,12,0,6,12,'012000222429,2
BULK,320332,7.5OZ CN 10/3 MUG RT BR,17,0,12,17,'012000222436,1
BULK,320362,12OZCN1/12SLCEL GRN APL CHRY,22,2,17,20,'889392000863,1
BULK,320466,14OZ PL 1/12 STRBK PNK DRNK,9,1,8,8,'098100100096,1
BULK,320467,14OZ PL 1/12 PNAP PRDS DRNK,4,0,4,4,'098100100119,1
BULK,320862,1L PL 1/15 BRSK BLUBRRY POM,58,3,41,55,'098000100127,1
